iter	MultiClass
0	1.522377117
1	1.441028991
2	1.376079081
3	1.322307308
4	1.268558925
5	1.223017084
6	1.183247129
7	1.148877907
8	1.11963116
9	1.092507069
10	1.066140215
11	1.044358591
12	1.024716235
13	1.00610996
14	0.9897839743
15	0.9732514183
16	0.9596697063
17	0.9451405975
18	0.9337212848
19	0.9242731128
20	0.9135239755
21	0.9037117211
22	0.8952636298
23	0.8866854744
24	0.8793316597
25	0.8712752527
26	0.8669436487
27	0.8611000502
28	0.8543213799
29	0.8481508314
30	0.8429179798
31	0.8362041666
32	0.8309262399
33	0.8275151179
34	0.8235786175
35	0.8190435924
36	0.8154535448
37	0.8128001504
38	0.8087139579
39	0.8046511739
40	0.8024967635
41	0.8006483205
42	0.7981463659
43	0.7949819989
44	0.7912512402
45	0.788250825
46	0.7862414927
47	0.7839534378
48	0.7820670365
49	0.7786569288
50	0.7758487892
51	0.7723887676
52	0.7700522412
53	0.7681503246
54	0.7666083081
55	0.7644804931
56	0.7631711062
57	0.7616972864
58	0.7596299675
59	0.7580190916
60	0.7566053663
61	0.7546820995
62	0.7531120148
63	0.7519157364
64	0.7501478912
65	0.7483429901
66	0.746761607
67	0.7457665198
68	0.7436271418
69	0.7422567315
70	0.7404957047
71	0.7394454177
72	0.7379843326
73	0.7362906257
74	0.7350806129
75	0.7336546685
76	0.7326370126
77	0.73139374
78	0.7300854045
79	0.7285109535
80	0.7272970832
81	0.7261277739
82	0.7249730477
83	0.7236022171
84	0.7228977377
85	0.7219648756
86	0.7203294551
87	0.718812119
88	0.7180547799
89	0.717189248
90	0.7162832497
91	0.715574519
92	0.7144194069
93	0.7122018439
94	0.7109417243
95	0.7105075233
96	0.7094654076
97	0.7088058269
98	0.7070383513
99	0.7064135374
100	0.7058478628
101	0.7047919654
102	0.7039334241
103	0.7033446552
104	0.7021677951
105	0.7008218576
106	0.6994321922
107	0.6983205843
108	0.6976770188
109	0.6963989463
110	0.6954966129
111	0.6943130582
112	0.6936615065
113	0.6926375051
114	0.6918074546
115	0.6911609331
116	0.6902859956
117	0.6893722996
118	0.6884061975
119	0.6877262912
120	0.6866011548
121	0.6859926693
122	0.6851150598
123	0.6841207008
124	0.6831278473
125	0.6820082999
126	0.6812423838
127	0.6805735943
128	0.6797477177
129	0.679449469
130	0.6784982232
131	0.6774618415
132	0.6764557978
133	0.6752464102
134	0.6741594486
135	0.6732563408
136	0.6725895146
137	0.6714659515
138	0.6701008985
139	0.6693304055
140	0.668435214
141	0.667480064
142	0.6665078982
143	0.6658545609
144	0.665029984
145	0.6646383827
146	0.6639290669
147	0.6632188819
148	0.6625464936
149	0.661810662
150	0.6611951357
151	0.6605923139
152	0.6596760707
153	0.6593697707
154	0.6588200861
155	0.6580010329
156	0.6570794436
157	0.6565885688
158	0.6557372901
159	0.6550224471
160	0.6546641864
161	0.6534461398
162	0.6527012399
163	0.6520147538
164	0.6516456442
165	0.6509315555
166	0.6498413261
167	0.6496354429
168	0.6488474046
169	0.6479818079
170	0.6476364268
171	0.6470222354
172	0.6462100924
173	0.6451721403
174	0.6444534067
175	0.6431048852
176	0.642410772
177	0.6415688714
178	0.6410650331
179	0.6404652385
180	0.6399763052
181	0.639166329
182	0.6387556274
183	0.6381418262
184	0.6378074199
185	0.6373855499
186	0.6368901759
187	0.6363956405
188	0.6354243694
189	0.634704007
190	0.6345342323
191	0.6336451242
192	0.6332726056
193	0.6324075329
194	0.6316590151
195	0.6311358302
196	0.6305016728
197	0.629764831
198	0.6294223221
199	0.6287441111
200	0.6279076331
201	0.6276022466
202	0.6271179358
203	0.6265353619
204	0.6260730434
205	0.6253019491
206	0.6243074218
207	0.6238719815
208	0.6233286164
209	0.6227620579
210	0.6214834207
211	0.6211675063
212	0.6205737523
213	0.6199131274
214	0.619474475
215	0.6190500113
216	0.6186982048
217	0.6181083475
218	0.6176855238
219	0.6167706263
220	0.616213392
221	0.6159431475
222	0.6154867596
223	0.6148385229
224	0.6144127832
225	0.6140083234
226	0.6134707918
227	0.61297621
228	0.6124708781
229	0.6119238635
230	0.6116835125
231	0.6113904433
232	0.6107550399
233	0.6103867068
234	0.6096917179
235	0.6088943228
236	0.6079082798
237	0.6076215874
238	0.6070346798
239	0.6062288779
240	0.6058524842
241	0.605250111
242	0.6048356792
243	0.604083801
244	0.6035078412
245	0.6027836717
246	0.6022615458
247	0.6019435796
248	0.6010254515
249	0.6004539435
250	0.5999078073
251	0.5995212667
252	0.5989291485
253	0.5981449407
254	0.5975629677
255	0.5973887078
256	0.5966096708
257	0.5963288247
258	0.5958310664
259	0.5952518172
260	0.5944925298
261	0.5942306975
262	0.5939496295
263	0.593464023
264	0.5924563738
265	0.5921146523
266	0.5917460418
267	0.5913480308
268	0.5906603942
269	0.5901675253
270	0.5898235557
271	0.5892803019
272	0.5885921458
273	0.5878101688
274	0.5874003596
275	0.5869992133
276	0.5866162771
277	0.5863616685
278	0.5859061284
279	0.5852267427
280	0.5847300926
281	0.5843539069
282	0.5839056475
283	0.5832198454
284	0.5826776865
285	0.582002405
286	0.5816087417
287	0.5811490799
288	0.5803656036
289	0.5799254715
290	0.5795620158
291	0.5793958463
292	0.5789362282
293	0.5786556161
294	0.578152522
295	0.577528531
296	0.5769833875
297	0.5764842298
298	0.5763986422
299	0.5762510544
300	0.5758197617
301	0.5754058675
302	0.5750167867
303	0.574647976
304	0.574489691
305	0.573914008
306	0.5732457291
307	0.5729732184
308	0.5723026308
309	0.5717049152
310	0.5712690421
311	0.5706995371
312	0.5696993658
313	0.5693420816
314	0.5688383581
315	0.5684501731
316	0.5680482733
317	0.5676766053
318	0.5673827397
319	0.567040431
320	0.5664883917
321	0.566168748
322	0.5654916724
323	0.5652259039
324	0.5648267711
325	0.5644594786
326	0.5639498729
327	0.5633858483
328	0.5631219531
329	0.5627969717
330	0.5624226064
331	0.5621550158
332	0.561759035
333	0.5616485599
334	0.5610317579
335	0.5606550202
336	0.5602177685
337	0.5593838828
338	0.5586478507
339	0.5583655187
340	0.558131755
341	0.5579605887
342	0.5574459238
343	0.5567398599
344	0.5561843307
345	0.5554479075
346	0.5549486862
347	0.5547662059
348	0.5543946366
349	0.5537968638
350	0.5533682003
351	0.5531905555
352	0.5527184951
353	0.5520802564
354	0.5518132278
355	0.5512053209
356	0.5507838788
357	0.5506637123
358	0.5500547204
359	0.5498361114
360	0.5496704374
361	0.5495050895
362	0.5491405233
363	0.5484615458
364	0.54793516
365	0.5474482514
366	0.5469615336
367	0.5467463794
368	0.546476565
369	0.5460904903
370	0.5457296615
371	0.545294123
372	0.544804417
373	0.5443092835
374	0.5439101158
375	0.5437785984
376	0.543476471
377	0.5431974964
378	0.5426263701
379	0.542473951
380	0.5419255114
381	0.541783942
382	0.5415305826
383	0.5412402542
384	0.5409375918
385	0.5408493019
386	0.5403452134
387	0.5398434747
388	0.5394950832
389	0.5391694996
390	0.5390210009
391	0.5385669353
392	0.5383002334
