iter	Passed	Remaining
0	145	144914
1	148	74088
2	151	50460
3	155	38616
4	158	31521
5	161	26804
6	165	23412
7	168	20866
8	171	18873
9	174	17293
10	177	15976
11	180	14881
12	183	13965
13	187	13188
14	190	12507
15	193	11906
16	196	11373
17	199	10910
18	203	10497
19	206	10121
20	209	9774
21	212	9459
22	215	9175
23	219	8913
24	222	8671
25	225	8440
26	226	8153
27	229	7958
28	232	7783
29	235	7626
30	239	7477
31	242	7348
32	246	7215
33	249	7095
34	253	6976
35	256	6862
36	259	6751
37	262	6645
38	265	6551
39	269	6458
40	272	6368
41	275	6282
42	278	6196
43	281	6124
44	284	6047
45	288	5975
46	291	5904
47	294	5840
48	297	5777
49	300	5714
50	303	5655
51	307	5598
52	310	5540
53	313	5487
54	316	5434
55	319	5383
56	322	5333
57	325	5288
58	328	5244
59	331	5199
60	335	5157
61	338	5117
62	341	5079
63	344	5042
64	348	5006
65	351	4969
66	354	4934
67	357	4900
68	360	4866
69	363	4834
70	366	4800
71	370	4769
72	373	4739
73	376	4709
74	379	4678
75	382	4649
76	385	4620
77	388	4595
78	391	4569
79	395	4543
80	398	4518
81	401	4493
82	404	4470
83	407	4446
84	410	4421
85	413	4398
86	417	4379
87	420	4356
88	423	4333
89	426	4311
90	429	4289
91	432	4268
92	435	4248
93	438	4230
94	441	4209
95	445	4190
96	448	4173
97	451	4153
98	454	4135
99	457	4117
100	460	4100
101	463	4084
102	467	4067
103	470	4051
104	473	4035
105	476	4021
106	480	4007
107	483	3991
108	486	3975
109	489	3960
110	492	3944
111	495	3930
112	498	3914
113	501	3899
114	504	3884
115	507	3869
116	510	3855
117	513	3841
118	517	3828
119	520	3815
120	523	3801
121	526	3789
122	529	3776
123	532	3764
124	536	3752
125	539	3740
126	542	3728
127	545	3716
128	548	3704
129	551	3692
130	554	3680
131	557	3669
132	560	3656
133	564	3645
134	567	3634
135	570	3623
136	573	3612
137	576	3600
138	579	3590
139	582	3579
140	585	3569
141	588	3558
142	592	3548
143	595	3538
144	598	3528
145	601	3519
146	604	3509
147	607	3499
148	610	3489
149	614	3479
150	617	3470
151	620	3460
152	623	3450
153	626	3440
154	629	3431
155	632	3422
156	635	3413
157	639	3407
158	642	3399
159	645	3390
160	649	3382
161	652	3374
162	655	3365
163	658	3357
164	661	3348
165	665	3341
166	668	3333
167	671	3325
168	674	3317
169	678	3310
170	681	3302
171	684	3294
172	687	3286
173	690	3277
174	693	3271
175	697	3263
176	700	3256
177	703	3249
178	706	3242
179	709	3234
180	713	3226
