iter	Passed	Remaining
0	145	145357
1	153	76391
2	160	53310
3	168	41874
4	176	35076
5	183	30429
6	191	27108
7	198	24659
8	206	22704
9	213	21153
10	221	19887
11	228	18843
12	236	17967
13	244	17205
14	251	16541
15	259	15959
16	266	15437
17	274	14956
18	281	14531
19	288	14151
20	296	13821
21	303	13502
22	311	13212
23	318	12937
24	325	12712
25	333	12501
26	341	12291
27	348	12091
28	355	11915
29	363	11743
30	370	11589
31	378	11451
32	386	11319
33	393	11186
34	401	11073
35	409	10953
36	416	10839
37	424	10745
38	432	10652
39	440	10565
40	447	10477
41	455	10389
42	463	10313
43	470	10227
44	477	10137
45	485	10068
46	493	10002
47	500	9925
48	508	9861
49	515	9796
50	523	9732
51	530	9666
52	537	9599
53	544	9530
54	551	9476
55	558	9422
56	566	9374
57	574	9328
58	581	9280
59	590	9247
60	597	9197
61	604	9150
62	612	9104
63	619	9061
64	626	9016
65	634	8973
66	641	8928
67	648	8889
68	655	8848
69	663	8812
70	670	8770
71	677	8734
72	684	8696
73	692	8665
74	699	8629
75	707	8597
76	714	8565
77	722	8534
78	729	8500
79	736	8467
80	744	8441
81	751	8413
82	759	8385
83	766	8357
84	773	8331
85	781	8300
86	788	8274
87	796	8249
88	803	8227
89	811	8204
90	818	8180
91	826	8155
92	833	8132
93	841	8108
94	848	8085
95	856	8063
96	863	8039
97	870	8014
98	878	7995
99	886	7976
100	894	7961
101	902	7941
102	909	7923
103	917	7905
104	925	7885
105	932	7865
106	940	7846
107	947	7827
108	956	7815
109	963	7794
110	971	7777
111	989	7848
112	997	7832
113	1005	7818
114	1013	7798
115	1020	7780
116	1028	7760
117	1035	7743
118	1043	7723
119	1051	7709
120	1058	7689
121	1066	7671
122	1073	7652
123	1080	7636
124	1088	7619
125	1096	7603
126	1103	7587
127	1110	7568
128	1118	7553
129	1126	7536
130	1133	7518
131	1140	7502
132	1148	7487
133	1156	7472
134	1163	7455
135	1171	7440
136	1178	7424
137	1185	7408
138	1193	7393
139	1200	7377
140	1208	7360
141	1215	7345
142	1222	7328
143	1230	7313
144	1237	7298
145	1245	7284
146	1253	7272
147	1260	7255
148	1267	7240
149	1275	7225
150	1283	7214
151	1290	7200
152	1297	7183
153	1304	7167
154	1312	7155
155	1320	7142
156	1328	7130
157	1335	7116
158	1343	7104
159	1350	7091
160	1358	7078
161	1365	7064
162	1373	7052
163	1381	7040
164	1388	7027
165	1396	7015
166	1403	7001
167	1411	6990
168	1419	6978
169	1426	6964
170	1433	6950
171	1441	6939
172	1449	6927
173	1456	6914
174	1463	6900
175	1471	6889
176	1479	6876
177	1486	6865
178	1494	6852
179	1501	6838
180	1508	6826
181	1516	6814
182	1523	6800
183	1531	6791
184	1538	6779
185	1546	6767
186	1554	6756
187	1561	6745
188	1568	6731
189	1576	6719
190	1583	6707
191	1591	6698
192	1598	6684
193	1606	6672
194	1613	6660
195	1620	6647
196	1628	6636
197	1635	6625
198	1643	6614
199	1650	6603
200	1658	6592
201	1666	6583
202	1673	6571
203	1681	6561
204	1688	6549
205	1696	6537
206	1703	6526
207	1711	6515
208	1718	6504
209	1726	6494
210	1734	6484
211	1741	6472
212	1748	6459
